run_number,timestamp,operation,project_uuid,time_seconds
1,2025-11-03T13:53:36.240068,get_many_annotation_projects,N/A,0.07798194885253906
1,2025-11-03T13:53:36.240068,get_annotation_tasks,ff944bfd-b33a-40e7-ab77-56d03d51278e,0.0473940372467041
1,2025-11-03T13:53:36.240068,get_annotation_tasks,2e1c8f63-6c16-41d4-a560-fb2f6ea8afa1,0.05718803405761719
1,2025-11-03T13:53:36.240068,get_annotation_tasks,d324bb49-15c1-4686-b79e-705d531955d7,0.22019410133361816
1,2025-11-03T13:53:36.240068,get_annotation_tasks,f96e155a-151b-4240-96a0-5585847271d6,0.9295487403869629
1,2025-11-03T13:53:36.240068,get_annotation_tasks,d1d5578f-f656-4d9f-b1b2-e280d7991282,0.06420183181762695
1,2025-11-03T13:53:36.240068,get_annotation_tasks,6b7fba1f-5195-47ff-9d8f-ef2ec3eda46f,0.05510592460632324
1,2025-11-03T13:53:36.240068,get_annotation_tasks,0852a108-6c5a-4304-8f75-f86cb6c843e9,0.13467979431152344
1,2025-11-03T13:53:36.240068,get_annotation_tasks,78a86a86-b88a-4bf7-accf-4caddd0f63bb,0.17217803001403809
1,2025-11-03T13:53:36.240068,total_time,N/A,1.7586407661437988
2,2025-11-03T13:53:39.251882,get_many_annotation_projects,N/A,0.07125997543334961
2,2025-11-03T13:53:39.251882,get_annotation_tasks,ff944bfd-b33a-40e7-ab77-56d03d51278e,0.04065203666687012
2,2025-11-03T13:53:39.251882,get_annotation_tasks,2e1c8f63-6c16-41d4-a560-fb2f6ea8afa1,0.05222916603088379
2,2025-11-03T13:53:39.251882,get_annotation_tasks,d324bb49-15c1-4686-b79e-705d531955d7,0.22925710678100586
2,2025-11-03T13:53:39.251882,get_annotation_tasks,f96e155a-151b-4240-96a0-5585847271d6,0.932837963104248
2,2025-11-03T13:53:39.251882,get_annotation_tasks,d1d5578f-f656-4d9f-b1b2-e280d7991282,0.061064958572387695
2,2025-11-03T13:53:39.251882,get_annotation_tasks,6b7fba1f-5195-47ff-9d8f-ef2ec3eda46f,0.05663704872131348
2,2025-11-03T13:53:39.251882,get_annotation_tasks,0852a108-6c5a-4304-8f75-f86cb6c843e9,0.14054608345031738
2,2025-11-03T13:53:39.251882,get_annotation_tasks,78a86a86-b88a-4bf7-accf-4caddd0f63bb,0.17920517921447754
2,2025-11-03T13:53:39.251882,total_time,N/A,1.763875961303711
3,2025-11-03T13:53:42.231403,get_many_annotation_projects,N/A,0.059191226959228516
3,2025-11-03T13:53:42.231403,get_annotation_tasks,ff944bfd-b33a-40e7-ab77-56d03d51278e,0.0437619686126709
3,2025-11-03T13:53:42.231403,get_annotation_tasks,2e1c8f63-6c16-41d4-a560-fb2f6ea8afa1,0.04816389083862305
3,2025-11-03T13:53:42.231403,get_annotation_tasks,d324bb49-15c1-4686-b79e-705d531955d7,0.20267796516418457
3,2025-11-03T13:53:42.231403,get_annotation_tasks,f96e155a-151b-4240-96a0-5585847271d6,0.9570586681365967
3,2025-11-03T13:53:42.231403,get_annotation_tasks,d1d5578f-f656-4d9f-b1b2-e280d7991282,0.06136202812194824
3,2025-11-03T13:53:42.231403,get_annotation_tasks,6b7fba1f-5195-47ff-9d8f-ef2ec3eda46f,0.05230903625488281
3,2025-11-03T13:53:42.231403,get_annotation_tasks,0852a108-6c5a-4304-8f75-f86cb6c843e9,0.1313037872314453
3,2025-11-03T13:53:42.231403,get_annotation_tasks,78a86a86-b88a-4bf7-accf-4caddd0f63bb,0.17212605476379395
3,2025-11-03T13:53:42.231403,total_time,N/A,1.7281360626220703
4,2025-11-03T13:53:45.222091,get_many_annotation_projects,N/A,0.06304407119750977
4,2025-11-03T13:53:45.222091,get_annotation_tasks,ff944bfd-b33a-40e7-ab77-56d03d51278e,0.039736270904541016
4,2025-11-03T13:53:45.222091,get_annotation_tasks,2e1c8f63-6c16-41d4-a560-fb2f6ea8afa1,0.04778909683227539
4,2025-11-03T13:53:45.222091,get_annotation_tasks,d324bb49-15c1-4686-b79e-705d531955d7,0.21174407005310059
4,2025-11-03T13:53:45.222091,get_annotation_tasks,f96e155a-151b-4240-96a0-5585847271d6,0.863469123840332
4,2025-11-03T13:53:45.222091,get_annotation_tasks,d1d5578f-f656-4d9f-b1b2-e280d7991282,0.0613400936126709
4,2025-11-03T13:53:45.222091,get_annotation_tasks,6b7fba1f-5195-47ff-9d8f-ef2ec3eda46f,0.0492711067199707
4,2025-11-03T13:53:45.222091,get_annotation_tasks,0852a108-6c5a-4304-8f75-f86cb6c843e9,0.12362170219421387
4,2025-11-03T13:53:45.222091,get_annotation_tasks,78a86a86-b88a-4bf7-accf-4caddd0f63bb,0.15053105354309082
4,2025-11-03T13:53:45.222091,total_time,N/A,1.6107101440429688
5,2025-11-03T13:53:48.051031,get_many_annotation_projects,N/A,0.06400609016418457
5,2025-11-03T13:53:48.051031,get_annotation_tasks,ff944bfd-b33a-40e7-ab77-56d03d51278e,0.040318965911865234
5,2025-11-03T13:53:48.051031,get_annotation_tasks,2e1c8f63-6c16-41d4-a560-fb2f6ea8afa1,0.0469212532043457
5,2025-11-03T13:53:48.051031,get_annotation_tasks,d324bb49-15c1-4686-b79e-705d531955d7,0.21413898468017578
5,2025-11-03T13:53:48.051031,get_annotation_tasks,f96e155a-151b-4240-96a0-5585847271d6,0.9549081325531006
5,2025-11-03T13:53:48.051031,get_annotation_tasks,d1d5578f-f656-4d9f-b1b2-e280d7991282,0.062410831451416016
5,2025-11-03T13:53:48.051031,get_annotation_tasks,6b7fba1f-5195-47ff-9d8f-ef2ec3eda46f,0.050801992416381836
5,2025-11-03T13:53:48.051031,get_annotation_tasks,0852a108-6c5a-4304-8f75-f86cb6c843e9,0.14365887641906738
5,2025-11-03T13:53:48.051031,get_annotation_tasks,78a86a86-b88a-4bf7-accf-4caddd0f63bb,0.1713547706604004
5,2025-11-03T13:53:48.051031,total_time,N/A,1.7486982345581055
6,2025-11-03T13:53:51.003972,get_many_annotation_projects,N/A,0.06532907485961914
